time_id,hour,time_of_day,period
826,8,Morning,AM
828,8,Morning,AM
834,8,Morning,AM
835,8,Morning,AM
900,9,Morning,AM
901,9,Morning,AM
902,9,Morning,AM
909,9,Morning,AM
932,9,Morning,AM
934,9,Morning,AM
937,9,Morning,AM
941,9,Morning,AM
945,9,Morning,AM
953,9,Morning,AM
956,9,Morning,AM
957,9,Morning,AM
958,9,Morning,AM
959,9,Morning,AM
1019,10,Morning,AM
1029,10,Morning,AM
1037,10,Morning,AM
1039,10,Morning,AM
1047,10,Morning,AM
1051,10,Morning,AM
1052,10,Morning,AM
1053,10,Morning,AM
1121,11,Morning,AM
1122,11,Morning,AM
1129,11,Morning,AM
1132,11,Morning,AM
1133,11,Morning,AM
1134,11,Morning,AM
1141,11,Morning,AM
1145,11,Morning,AM
1149,11,Morning,AM
1157,11,Morning,AM
1158,11,Morning,AM
1203,12,Afternoon,PM
1208,12,Afternoon,PM
1212,12,Afternoon,PM
1215,12,Afternoon,PM
1222,12,Afternoon,PM
1223,12,Afternoon,PM
1227,12,Afternoon,PM
1231,12,Afternoon,PM
1235,12,Afternoon,PM
1236,12,Afternoon,PM
1238,12,Afternoon,PM
1240,12,Afternoon,PM
1243,12,Afternoon,PM
1248,12,Afternoon,PM
1249,12,Afternoon,PM
1250,12,Afternoon,PM
1251,12,Afternoon,PM
1254,12,Afternoon,PM
1258,12,Afternoon,PM
1317,13,Afternoon,PM
1320,13,Afternoon,PM
1321,13,Afternoon,PM
1323,13,Afternoon,PM
1331,13,Afternoon,PM
1333,13,Afternoon,PM
1338,13,Afternoon,PM
1345,13,Afternoon,PM
1351,13,Afternoon,PM
1354,13,Afternoon,PM
1403,14,Afternoon,PM
1411,14,Afternoon,PM
1434,14,Afternoon,PM
1438,14,Afternoon,PM
1441,14,Afternoon,PM
1454,14,Afternoon,PM
1500,15,Afternoon,PM
1506,15,Afternoon,PM
1508,15,Afternoon,PM
1521,15,Afternoon,PM
1527,15,Afternoon,PM
1528,15,Afternoon,PM
1535,15,Afternoon,PM
1537,15,Afternoon,PM
1540,15,Afternoon,PM
1545,15,Afternoon,PM
1546,15,Afternoon,PM
1601,16,Afternoon,PM
1611,16,Afternoon,PM
1613,16,Afternoon,PM
1615,16,Afternoon,PM
1616,16,Afternoon,PM
1617,16,Afternoon,PM
1619,16,Afternoon,PM
1621,16,Afternoon,PM
1622,16,Afternoon,PM
1624,16,Afternoon,PM
1625,16,Afternoon,PM
1633,16,Afternoon,PM
1649,16,Afternoon,PM
1652,16,Afternoon,PM
1657,16,Afternoon,PM
1658,16,Afternoon,PM
1715,17,Evening,PM
1722,17,Evening,PM
1724,17,Evening,PM
1735,17,Evening,PM
748,7,Morning,AM
749,7,Morning,AM
832,8,Morning,AM
833,8,Morning,AM
840,8,Morning,AM
843,8,Morning,AM
852,8,Morning,AM
929,9,Morning,AM
942,9,Morning,AM
943,9,Morning,AM
944,9,Morning,AM
1009,10,Morning,AM
1010,10,Morning,AM
1017,10,Morning,AM
1018,10,Morning,AM
1027,10,Morning,AM
1035,10,Morning,AM
1045,10,Morning,AM
1046,10,Morning,AM
1054,10,Morning,AM
1055,10,Morning,AM
1056,10,Morning,AM
1058,10,Morning,AM
1102,11,Morning,AM
1120,11,Morning,AM
1123,11,Morning,AM
1135,11,Morning,AM
1146,11,Morning,AM
1207,12,Afternoon,PM
1209,12,Afternoon,PM
1210,12,Afternoon,PM
1211,12,Afternoon,PM
1216,12,Afternoon,PM
1218,12,Afternoon,PM
1224,12,Afternoon,PM
1225,12,Afternoon,PM
1226,12,Afternoon,PM
1228,12,Afternoon,PM
1233,12,Afternoon,PM
1247,12,Afternoon,PM
1259,12,Afternoon,PM
1306,13,Afternoon,PM
1308,13,Afternoon,PM
1311,13,Afternoon,PM
1314,13,Afternoon,PM
1332,13,Afternoon,PM
1336,13,Afternoon,PM
1339,13,Afternoon,PM
1344,13,Afternoon,PM
1349,13,Afternoon,PM
1404,14,Afternoon,PM
1405,14,Afternoon,PM
1406,14,Afternoon,PM
1407,14,Afternoon,PM
1409,14,Afternoon,PM
1426,14,Afternoon,PM
1430,14,Afternoon,PM
1440,14,Afternoon,PM
1442,14,Afternoon,PM
1447,14,Afternoon,PM
1449,14,Afternoon,PM
1503,15,Afternoon,PM
1514,15,Afternoon,PM
1518,15,Afternoon,PM
1519,15,Afternoon,PM
